country,countryId,countryCode,popData2020,continent
Austria,AT,AUT,8901064,Europe
Belgium,BE,BEL,11522440,Europe
Bulgaria,BG,BGR,6951482,Europe
Croatia,HR,HRV,4058165,Europe
Cyprus,CY,CYP,888005,Europe
Czechia,CZ,CZE,10693939,Europe
Denmark,DK,DNK,5822763,Europe
Estonia,EE,EST,1328976,Europe
Finland,FI,FIN,5525292,Europe
France,FR,FRA,67320216,Europe
Germany,DE,DEU,83166711,Europe
Greece,EL,GRC,10718565,Europe
Hungary,HU,HUN,9769526,Europe
Iceland,IS,ISL,364134,Europe
Ireland,IE,IRL,4964440,Europe
Italy,IT,ITA,59641488,Europe
Latvia,LV,LVA,1907675,Europe
Liechtenstein,LI,LIE,38747,Europe
Lithuania,LT,LTU,2794090,Europe
Luxembourg,LU,LUX,626108,Europe
Malta,MT,MLT,514564,Europe
Netherlands,NL,NLD,17407585,Europe
Norway,NO,NOR,5367580,Europe
Poland,PL,POL,37958138,Europe
Portugal,PT,PRT,10295909,Europe
Romania,RO,ROU,19328838,Europe
Slovakia,SK,SVK,5457873,Europe
Slovenia,SI,SVN,2095861,Europe
Spain,ES,ESP,47332614,Europe
Sweden,SE,SWE,10327589,Europe
