dateRep,day,month,year,cases,deaths,countryId
04/07/2021,4,7,2021,145,2,AT
03/07/2021,3,7,2021,163,8,AT
02/07/2021,2,7,2021,55,2,AT
01/07/2021,1,7,2021,36,1,AT
30/06/2021,30,6,2021,100,2,AT
29/06/2021,29,6,2021,75,6,AT
28/06/2021,28,6,2021,67,2,AT
27/06/2021,27,6,2021,129,3,AT
26/06/2021,26,6,2021,115,27,AT
25/06/2021,25,6,2021,101,4,AT
24/06/2021,24,6,2021,121,12,AT
23/06/2021,23,6,2021,108,4,AT
22/06/2021,22,6,2021,118,2,AT
21/06/2021,21,6,2021,109,0,AT
20/06/2021,20,6,2021,149,1,AT
19/06/2021,19,6,2021,132,1,AT
18/06/2021,18,6,2021,171,3,AT
17/06/2021,17,6,2021,181,5,AT
16/06/2021,16,6,2021,-171,6,AT
15/06/2021,15,6,2021,64,2,AT
14/06/2021,14,6,2021,216,3,AT
13/06/2021,13,6,2021,214,2,AT
12/06/2021,12,6,2021,234,4,AT
11/06/2021,11,6,2021,262,2,AT
10/06/2021,10,6,2021,328,0,AT
09/06/2021,9,6,2021,280,5,AT
08/06/2021,8,6,2021,259,7,AT
07/06/2021,7,6,2021,355,3,AT
06/06/2021,6,6,2021,304,3,AT
05/06/2021,5,6,2021,286,2,AT
04/06/2021,4,6,2021,323,7,AT
03/06/2021,3,6,2021,472,6,AT
02/06/2021,2,6,2021,364,4,AT
01/06/2021,1,6,2021,152,12,AT
31/05/2021,31,5,2021,366,5,AT
30/05/2021,30,5,2021,570,6,AT
29/05/2021,29,5,2021,538,11,AT
28/05/2021,28,5,2021,639,4,AT
27/05/2021,27,5,2021,405,19,AT
26/05/2021,26,5,2021,287,8,AT
25/05/2021,25,5,2021,342,3,AT
24/05/2021,24,5,2021,520,3,AT
23/05/2021,23,5,2021,626,8,AT
22/05/2021,22,5,2021,671,12,AT
21/05/2021,21,5,2021,603,8,AT
20/05/2021,20,5,2021,866,13,AT
19/05/2021,19,5,2021,630,11,AT
18/05/2021,18,5,2021,391,15,AT
17/05/2021,17,5,2021,676,6,AT
16/05/2021,16,5,2021,684,12,AT
15/05/2021,15,5,2021,721,14,AT
14/05/2021,14,5,2021,1100,11,AT
13/05/2021,13,5,2021,1179,14,AT
12/05/2021,12,5,2021,968,19,AT
11/05/2021,11,5,2021,670,16,AT
10/05/2021,10,5,2021,1009,11,AT
09/05/2021,9,5,2021,1251,14,AT
08/05/2021,8,5,2021,1383,23,AT
07/05/2021,7,5,2021,1220,8,AT
06/05/2021,6,5,2021,1682,26,AT
05/05/2021,5,5,2021,1297,25,AT
04/05/2021,4,5,2021,888,25,AT
03/05/2021,3,5,2021,1732,11,AT
02/05/2021,2,5,2021,1655,16,AT
01/05/2021,1,5,2021,2231,26,AT
30/04/2021,30,4,2021,1995,33,AT
29/04/2021,29,4,2021,2286,29,AT
28/04/2021,28,4,2021,1557,20,AT
27/04/2021,27,4,2021,1380,22,AT
26/04/2021,26,4,2021,2091,11,AT
25/04/2021,25,4,2021,2231,15,AT
24/04/2021,24,4,2021,2407,32,AT
23/04/2021,23,4,2021,2347,25,AT
22/04/2021,22,4,2021,2377,40,AT
21/04/2021,21,4,2021,2005,27,AT
20/04/2021,20,4,2021,1792,32,AT
19/04/2021,19,4,2021,2159,34,AT
18/04/2021,18,4,2021,2591,23,AT
17/04/2021,17,4,2021,2348,30,AT
16/04/2021,16,4,2021,2561,33,AT
15/04/2021,15,4,2021,2855,31,AT
14/04/2021,14,4,2021,2032,51,AT
13/04/2021,13,4,2021,1770,37,AT
12/04/2021,12,4,2021,2139,18,AT
11/04/2021,11,4,2021,3559,27,AT
10/04/2021,10,4,2021,2432,34,AT
09/04/2021,9,4,2021,3052,36,AT
08/04/2021,8,4,2021,3006,46,AT
07/04/2021,7,4,2021,2077,35,AT
06/04/2021,6,4,2021,2268,26,AT
05/04/2021,5,4,2021,2915,24,AT
04/04/2021,4,4,2021,3693,23,AT
03/04/2021,3,4,2021,3077,33,AT
02/04/2021,2,4,2021,3058,23,AT
01/04/2021,1,4,2021,3107,28,AT
31/03/2021,31,3,2021,2810,28,AT
30/03/2021,30,3,2021,3240,24,AT
29/03/2021,29,3,2021,2667,11,AT
28/03/2021,28,3,2021,3896,27,AT
27/03/2021,27,3,2021,3487,24,AT
26/03/2021,26,3,2021,3516,16,AT
25/03/2021,25,3,2021,3262,29,AT
24/03/2021,24,3,2021,2715,40,AT
23/03/2021,23,3,2021,2306,23,AT
22/03/2021,22,3,2021,2918,19,AT
21/03/2021,21,3,2021,4051,22,AT
20/03/2021,20,3,2021,3304,15,AT
19/03/2021,19,3,2021,3507,33,AT
18/03/2021,18,3,2021,2814,33,AT
17/03/2021,17,3,2021,2487,23,AT
16/03/2021,16,3,2021,1910,22,AT
15/03/2021,15,3,2021,2664,17,AT
14/03/2021,14,3,2021,3325,17,AT
13/03/2021,13,3,2021,3009,23,AT
12/03/2021,12,3,2021,2847,18,AT
11/03/2021,11,3,2021,2847,12,AT
10/03/2021,10,3,2021,2194,21,AT
09/03/2021,9,3,2021,1965,23,AT
08/03/2021,8,3,2021,2281,9,AT
07/03/2021,7,3,2021,2846,16,AT
06/03/2021,6,3,2021,2319,24,AT
05/03/2021,5,3,2021,2691,19,AT
04/03/2021,4,3,2021,2497,14,AT
03/03/2021,3,3,2021,1926,17,AT
02/03/2021,2,3,2021,1148,25,AT
01/03/2021,1,3,2021,456112,8414,AT
04/07/2021,4,7,2021,173,1,BE
03/07/2021,3,7,2021,496,2,BE
02/07/2021,2,7,2021,709,3,BE
01/07/2021,1,7,2021,668,5,BE
30/06/2021,30,6,2021,606,2,BE
29/06/2021,29,6,2021,555,5,BE
28/06/2021,28,6,2021,588,2,BE
27/06/2021,27,6,2021,172,3,BE
26/06/2021,26,6,2021,243,2,BE
25/06/2021,25,6,2021,380,5,BE
24/06/2021,24,6,2021,326,5,BE
23/06/2021,23,6,2021,387,5,BE
22/06/2021,22,6,2021,366,3,BE
21/06/2021,21,6,2021,468,5,BE
20/06/2021,20,6,2021,129,3,BE
19/06/2021,19,6,2021,267,6,BE
18/06/2021,18,6,2021,421,9,BE
17/06/2021,17,6,2021,447,7,BE
16/06/2021,16,6,2021,417,6,BE
15/06/2021,15,6,2021,531,6,BE
14/06/2021,14,6,2021,761,5,BE
13/06/2021,13,6,2021,204,4,BE
12/06/2021,12,6,2021,390,6,BE
11/06/2021,11,6,2021,775,9,BE
10/06/2021,10,6,2021,758,7,BE
09/06/2021,9,6,2021,832,6,BE
08/06/2021,8,6,2021,1037,13,BE
07/06/2021,7,6,2021,1227,5,BE
06/06/2021,6,6,2021,389,7,BE
05/06/2021,5,6,2021,648,13,BE
04/06/2021,4,6,2021,1343,10,BE
03/06/2021,3,6,2021,1463,15,BE
02/06/2021,2,6,2021,1493,16,BE
01/06/2021,1,6,2021,1685,11,BE
31/05/2021,31,5,2021,2030,14,BE
30/05/2021,30,5,2021,594,18,BE
29/05/2021,29,5,2021,1109,16,BE
28/05/2021,28,5,2021,2013,11,BE
27/05/2021,27,5,2021,2203,6,BE
26/05/2021,26,5,2021,2530,14,BE
25/05/2021,25,5,2021,2770,16,BE
24/05/2021,24,5,2021,896,19,BE
23/05/2021,23,5,2021,773,11,BE
22/05/2021,22,5,2021,1437,18,BE
21/05/2021,21,5,2021,2458,18,BE
20/05/2021,20,5,2021,2430,16,BE
19/05/2021,19,5,2021,3164,25,BE
18/05/2021,18,5,2021,3287,17,BE
17/05/2021,17,5,2021,3620,24,BE
16/05/2021,16,5,2021,757,17,BE
15/05/2021,15,5,2021,1279,22,BE
14/05/2021,14,5,2021,2591,20,BE
13/05/2021,13,5,2021,951,21,BE
12/05/2021,12,5,2021,2818,19,BE
11/05/2021,11,5,2021,3022,17,BE
10/05/2021,10,5,2021,3390,28,BE
09/05/2021,9,5,2021,871,32,BE
08/05/2021,8,5,2021,1722,42,BE
07/05/2021,7,5,2021,3324,26,BE
06/05/2021,6,5,2021,3523,38,BE
05/05/2021,5,5,2021,3643,38,BE
04/05/2021,4,5,2021,3665,40,BE
03/05/2021,3,5,2021,4349,43,BE
02/05/2021,2,5,2021,1144,34,BE
01/05/2021,1,5,2021,1342,28,BE
30/04/2021,30,4,2021,3501,33,BE
29/04/2021,29,4,2021,3369,46,BE
28/04/2021,28,4,2021,3465,49,BE
27/04/2021,27,4,2021,3782,26,BE
26/04/2021,26,4,2021,4281,44,BE
25/04/2021,25,4,2021,1138,39,BE
24/04/2021,24,4,2021,1904,36,BE
23/04/2021,23,4,2021,3648,42,BE
22/04/2021,22,4,2021,3818,43,BE
21/04/2021,21,4,2021,4086,36,BE
20/04/2021,20,4,2021,4470,36,BE
19/04/2021,19,4,2021,5483,50,BE
18/04/2021,18,4,2021,1314,34,BE
17/04/2021,17,4,2021,2338,30,BE
16/04/2021,16,4,2021,4046,45,BE
15/04/2021,15,4,2021,3818,42,BE
14/04/2021,14,4,2021,3917,39,BE
13/04/2021,13,4,2021,4315,37,BE
12/04/2021,12,4,2021,4767,43,BE
11/04/2021,11,4,2021,1301,22,BE
10/04/2021,10,4,2021,2369,46,BE
09/04/2021,9,4,2021,4517,44,BE
08/04/2021,8,4,2021,4487,43,BE
07/04/2021,7,4,2021,4763,42,BE
06/04/2021,6,4,2021,5274,46,BE
05/04/2021,5,4,2021,1583,49,BE
04/04/2021,4,4,2021,1513,36,BE
03/04/2021,3,4,2021,2721,40,BE
